iter	Passed	Remaining
718	72738	431981
719	72827	431806
720	72907	431581
721	73020	431546
722	73127	431480
723	73210	431273
724	73317	431208
725	73411	431065
726	73512	430964
727	73632	430974
728	73715	430764
729	73817	430667
730	73905	430492
731	74018	430461
732	74102	430261
733	74220	430257
734	74302	430045
735	74421	430046
736	74533	430008
737	74648	429987
738	74782	430075
739	74878	429944
740	74981	429851
741	75059	429621
742	75181	429635
743	75284	429547
744	75398	429517
745	75504	429444
746	75608	429359
747	75737	429414
748	75858	429427
749	75948	429259
750	76055	429190
751	76163	429129
752	76279	429109
753	76380	429006
754	76493	428969
755	76607	428942
756	76711	428852
757	76842	428916
758	76967	428948
759	77058	428791
760	77164	428716
761	77245	428501
762	77378	428571
763	77478	428462
764	77590	428422
765	77694	428332
766	77812	428325
767	77920	428256
768	78020	428150
769	78100	427931
770	78187	427750
771	78272	427557
772	78385	427519
773	78479	427376
774	78599	427377
775	78700	427276
776	78801	427173
777	78892	427013
778	78983	426857
779	79091	426789
780	79196	426706
781	79321	426735
782	79429	426665
783	79520	426507
784	79616	426380
785	79721	426295
786	79829	426230
787	79915	426046
788	80042	426081
789	80166	426098
790	80249	425902
791	80328	425678
792	80437	425617
793	80551	425585
794	80678	425615
795	80788	425558
796	80904	425537
797	80989	425346
798	81075	425163
799	81160	424974
800	81266	424896
801	81365	424787
802	81458	424640
803	81547	424475
804	81636	424307
805	81755	424298
806	81865	424238
807	81958	424094
808	82056	423973
809	82165	423914
810	82247	423711
811	82341	423574
812	82424	423375
813	82526	423276
814	82636	423220
815	82744	423152
816	82845	423049
817	82963	423031
818	83043	422824
819	83149	422741
820	83232	422547
821	83321	422384
822	83432	422333
823	83512	422121
824	83606	421983
825	83707	421880
826	83794	421710
827	83900	421632
828	83993	421488
829	84102	421422
830	84223	421419
831	84319	421292
832	84428	421232
833	84532	421140
834	84636	421053
835	84735	420938
836	84829	420801
837	84924	420672
838	85023	420556
839	85145	420556
840	85252	420482
841	85365	420441
842	85489	420450
843	85569	420243
844	85678	420178
845	85762	419990
846	85882	419982
847	85997	419949
848	86093	419819
849	86210	419795
850	86330	419784
851	86453	419787
852	86565	419736
853	86694	419766
854	86795	419664
855	86906	419607
856	87006	419499
857	87115	419435
858	87206	419281
859	87333	419301
860	87416	419113
861	87507	418960
862	87638	419001
863	87720	418806
864	87829	418740
865	87938	418673
866	88079	418758
867	88164	418576
868	88246	418385
869	88345	418268
870	88426	418069
871	88517	417918
872	88618	417816
873	88735	417786
874	88880	417892
875	88974	417753
876	89079	417669
877	89186	417592
878	89287	417487
879	89367	417287
880	89495	417306
881	89592	417182
882	89673	416985
883	89797	416989
884	89898	416884
885	90000	416785
886	90116	416750
887	90219	416654
888	90316	416531
889	90456	416606
890	90563	416529
891	90671	416456
892	90755	416277
893	90856	416172
894	90973	416142
895	91082	416073
896	91182	415962
897	91301	415938
898	91402	415837
899	91508	415754
900	91609	415650
901	91719	415583
902	91840	415570
903	91926	415397
904	92005	415193
905	92108	415098
906	92239	415127
907	92339	415020
908	92464	415020
909	92573	414954
910	92662	414795
911	92751	414637
912	92864	414584
913	92957	414444
914	93051	414306
915	93135	414126
916	93246	414068
917	93348	413967
918	93444	413840
919	93550	413757
920	93632	413568
921	93707	413348
922	93805	413233
923	93915	413167
924	94035	413146
925	94124	412988
926	94206	412802
927	94309	412703
928	94388	412503
929	94496	412433
930	94620	412427
931	94740	412407
932	94830	412254
933	94951	412236
934	95078	412244
935	95169	412094
936	95263	411959
937	95374	411899
938	95469	411771
939	95565	411643
940	95699	411682
941	95796	411558
942	95899	411461
943	95995	411338
944	96106	411275
945	96191	411101
946	96288	410979
947	96386	410862
948	96480	410727
949	96610	410747
950	96709	410634
951	96815	410549
952	96898	410369
953	96976	410169
954	97066	410016
955	97160	409882
956	97248	409722
957	97356	409651
958	97444	409491
959	97534	409341
960	97620	409174
961	97732	409113
962	97840	409038
963	97967	409043
964	98083	409002
965	98181	408884
966	98287	408802
967	98387	408694
968	98481	408561
969	98585	408470
970	98680	408340
971	98782	408239
972	98908	408237
973	98999	408091
974	99122	408080
975	99241	408048
976	99347	407964
977	99443	407840
978	99573	407855
979	99668	407724
980	99754	407558
981	99834	407367
982	99929	407241
983	100035	407157
984	100153	407119
985	100265	407061
986	100385	407032
987	100500	406984
988	100603	406889
989	100690	406727
990	100821	406743
991	100905	406572
992	100996	406427
993	101094	406309
994	101242	406394
995	101360	406359
996	101457	406237
997	101570	406179
998	101689	406145
999	101794	406059
1000	101887	405923
1001	101992	405830
1002	102117	405824
1003	102206	405669
1004	102294	405514
1005	102408	405461
1006	102519	405395
1007	102632	405338
1008	102759	405336
1009	102852	405198
1010	102978	405192
1011	103101	405174
1012	103222	405144
1013	103335	405088
1014	103451	405041
1015	103564	404982
1016	103665	404876
1017	103785	404846
1018	103883	404728
1019	103995	404665
1020	104106	404598
1021	104223	404552
1022	104334	404486
1023	104434	404377
1024	104516	404199
1025	104631	404147
1026	104730	404035
1027	104820	403886
1028	104905	403716
1029	105019	403661
1030	105098	403472
1031	105188	403326
1032	105265	403126
1033	105396	403136
1034	105524	403135
1035	105625	403030
1036	105741	402981
1037	105829	402823
1038	105930	402720
1039	106017	402561
1040	106101	402389
1041	106205	402297
1042	106316	402230
1043	106408	402088
1044	106522	402033
1045	106629	401948
1046	106739	401879
1047	106850	401809
1048	106947	401689
1049	107048	401583
1050	107155	401502
1051	107244	401351
1052	107342	401235
1053	107442	401123
1054	107548	401037
1055	107649	400934
1056	107755	400844
1057	107853	400728
1058	107956	400630
1059	108062	400545
1060	108142	400360
1061	108246	400268
1062	108345	400154
1063	108465	400120
1064	108563	400002
1065	108661	399886
1066	108740	399698
1067	108844	399604
1068	108962	399562
1069	109079	399515
1070	109182	399419
1071	109270	399265
1072	109368	399148
1073	109448	398966
1074	109547	398854
1075	109651	398760
1076	109748	398639
1077	109857	398563
1078	109991	398578
1079	110114	398552
1080	110201	398397
1081	110297	398275
1082	110429	398282
1083	110546	398231
1084	110657	398163
1085	110773	398113
1086	110892	398071
1087	110999	397986
1088	111103	397892
1089	111204	397785
1090	111361	397878
1091	111458	397758
1092	111581	397731
1093	111695	397674
1094	111808	397607
1095	111910	397505
1096	112017	397420
1097	112127	397347
1098	112228	397241
1099	112324	397117
1100	112433	397041
1101	112531	396925
1102	112654	396895
1103	112736	396722
1104	112844	396642
1105	112959	396585
1106	113043	396417
1107	113157	396358
1108	113239	396185
1109	113362	396156
1110	113485	396126
1111	113593	396046
1112	113684	395902
1113	113779	395776
1114	113893	395714
1115	114007	395656
1116	114089	395484
1117	114188	395370
1118	114347	395463
1119	114486	395489
1120	114606	395450
1121	114713	395362
1122	114844	395360
1123	114942	395241
1124	115060	395194
1125	115168	395113
1126	115274	395022
1127	115387	394958
1128	115469	394785
1129	115599	394776
1130	115725	394756
1131	115846	394716
1132	115945	394604
1133	116049	394508
1134	116164	394446
1135	116250	394288
1136	116355	394196
1137	116440	394036
1138	116535	393908
1139	116622	393754
1140	116712	393611
1141	116809	393490
1142	116918	393411
1143	117033	393352
1144	117120	393199
1145	117237	393145
1146	117326	392996
1147	117411	392836
1148	117534	392806
1149	117626	392667
1150	117708	392496
1151	117817	392418
1152	117911	392287
1153	118023	392219
1154	118101	392035
1155	118232	392028
1156	118341	391948
1157	118424	391782
1158	118525	391676
1159	118631	391584
1160	118721	391441
1161	118818	391323
1162	118904	391168
1163	118993	391022
1164	119095	390919
1165	119219	390889
1166	119323	390791
1167	119424	390685
1168	119536	390614
1169	119633	390496
1170	119747	390431
1171	119856	390351
1172	119976	390306
1173	120069	390175
1174	120198	390158
1175	120326	390138
1176	120411	389981
1177	120528	389927
1178	120631	389828
1179	120737	389735
1180	120829	389602
1181	120940	389528
1182	121044	389429
1183	121132	389282
1184	121254	389241
1185	121366	389169
1186	121466	389062
